step,reward
1610,-19.432522420641043
1620,-19.988350588493596
1630,-16.09515470423917
1640,-23.81230526581146
1650,-22.810093736727143
1660,-25.60352544080888
1670,-26.118973560520793
1680,-25.10083914095278
1690,-24.89388694625849
1700,-22.34007743426846
1710,-22.12105470534204
1720,-23.941892550874336
1730,-18.18958539281217
1740,-25.800446450065845
1750,-24.98198356224921
1760,-19.030427495167437
1770,-20.538272119984374
1780,-26.09824588292799
1790,-20.58853014646616
1800,-28.011474872311965
1810,-20.374359611950933
1820,-18.78656559834124
1830,-27.47359450227764
1840,-19.29304103875667
1850,-19.928112663508518
1860,-18.010440580535885
1870,-22.734509641550336
1880,-16.871587811866732
1890,-18.49564863074044
1900,-21.75541638007626
1910,-20.53270606476614
1920,-19.15176844555066
1930,-20.63524561574041
1940,-21.974177302590814
1950,-23.940770082034977
1960,-22.936349445901993
1970,-24.456502196797544
1980,-21.113776884243173
1990,-26.410096891527225
2000,-25.22138871697294
2010,-23.148123423482797
2020,-30.15292348092313
2030,-21.834265156491625
2040,-24.439155429812562
2050,-17.891985864071476
2060,-18.098257086537735
2070,-15.681533929782352
2080,-20.94126913018214
2090,-26.09174114309741
2100,-20.636688226475602
2110,-37.15034442674003
2120,-21.026165014392678
2130,-21.179587001564034
2140,-18.06817175138174
2150,-22.42193377463903
2160,-24.219844541774812
2170,-25.51372535759714
2180,-23.378751205303434
2190,-18.68125190460271
2200,-20.766152097187177
2210,-23.61579181432579
2220,-20.965864805453855
2230,-21.272894885347963
2240,-23.470692610818688
2250,-21.309046658675733
2260,-18.932983556110315
2270,-20.468338208359064
2280,-21.16161528556612
2290,-30.879020985965145
2300,-25.001462909800114
2310,-22.35708168520982
2320,-22.126910055921403
2330,-22.834753278531952
2340,-20.64666723075286
2350,-23.188432297305006
2360,-20.555272628119745
2370,-17.522914830024042
2380,-19.562012661721962
2390,-20.114584284568785
2400,-17.82964727733469
2410,-23.543243418826357
2420,-18.73612652792498
2430,-24.725632584090715
2440,-20.927411577973835
2450,-20.690788430807423
2460,-20.7874044330286
2470,-22.505874985071344
2480,-16.328290260837612
2490,-21.570113235849856
2500,-24.018677894931187
2510,-20.920467700007364
2520,-17.603892042426004
2530,-25.920816242153656
2540,-25.83202322635355
2550,-19.524034258109175
2560,-19.411890838746608
2570,-19.641283948400503
2580,-15.56948693868775
2590,-20.017198923103194
2600,-20.67356279719255
2610,-20.745101065984276
2620,-22.409280483527148
2630,-16.549434278241485
